system,display_name,recommended_primary_source,stable_field_count,openai_field_count,openai_trigger_count,libretro_raw_entry_count,libretro_distinct_address_count,action_replay_cheat_count
gb,"David Crane's The Rescue of Princess Blobette Starring A Boy and His Blob (USA, Europe) (Game Genie) (diff)",,0,0,0,0,0,0
gb,"Days of Thunder (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Dead Heat Scramble (USA, Japan) (Game Genie)",,0,0,0,0,0,0
gb,Deep - Final Mission (Sachen) [!],,0,0,0,0,0,0
gb,Dennis the Menace (USA),libretro_database,0,0,0,1,1,0
gb,"Desert Strike - Return to the Gulf (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,"Dexterity (USA, Europe) (Xploder)",,0,0,0,0,0,0
gb,Dick Tracy (USA) (GameShark),,0,0,0,0,0,0
gb,"Dig Dug (USA, Europe) (Game Genie)",libretro_database,0,0,0,1,1,0
gb,Dirty Racing (Japan),,0,0,0,0,0,0
gb,Donkey Kong (World) (Rev 1) (SGB Enhanced),,0,0,0,0,0,0
gb,"Donkey Kong Land (USA, Europe) (SGB Enhanced)",libretro_database,0,0,0,1,1,0
gb,"Donkey Kong Land 2 (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,"Donkey Kong Land III (USA, Europe) (Rev 1) (SGB Enhanced)",libretro_database,0,0,0,1,1,0
gb,Doraemon - Taiketsu HimitsuDougu!! (Japan),libretro_database,0,0,0,1,1,0
gb,Doraemon 2 - Animal Planet Densetsu (Japan),libretro_database,0,0,0,1,1,0
gb,Doraemon Kart (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Doraemon no Game Boy de Asobouyo Deluxe 10 (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Double Dragon (World) (GameShark),libretro_database,0,0,0,1,1,0
gb,"Double Dragon 3 - The Arcade Game (USA, Europe) (Game Genie)",libretro_database,0,0,0,3,2,0
gb,"Double Dragon II (USA, Europe) (GameShark)",libretro_database,0,0,0,1,1,0
gb,Double Dribble - 5 on 5 (USA) (Game Genie),,0,0,0,0,0,0
gb,"Dr. Franken (Europe) (En,Fr,De,Es,It,Nl,Sv)",,0,0,0,0,0,0
gb,"Dr. Franken II (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)",,0,0,0,0,0,0
gb,Dr. Mario (World) (GameShark),,0,0,0,0,0,0
gb,Dracula (Possibly Fake) (GameShark),,0,0,0,0,0,0
gb,Dracula Densetsu II (Japan),,0,0,0,0,0,0
gb,Dragon Ball Z - Gokuu Gekitouden (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Dragon Ball Z - Gokuu Hishouden (Japan) (SGB Enhanced),libretro_database,0,0,0,1,1,0
gb,Dragon Slayer Gaiden - Nemuri no Oukan (Japan),,0,0,0,0,0,0
gb,Dragon Slayer I (Japan),libretro_database,0,0,0,3,3,0
gb,Dragon's Lair (Japan) (GameShark),,0,0,0,0,0,0
gb,Dragon's Lair - The Legend (USA),,0,0,0,0,0,0
gb,"DragonHeart (USA, Europe)",,0,0,0,0,0,0
gb,Dropzone (Europe) (GameShark),,0,0,0,0,0,0
gb,Druaga no Tou (Japan) (GameShark),libretro_database,0,0,0,1,1,0
gb,DuckTales (World) (GameShark),,0,0,0,0,0,0
gb,DuckTales 2 (World) (GameShark),,0,0,0,0,0,0
gb,Dynablaster (Europe) (GameShark),,0,0,0,0,0,0
gb,"Earthworm Jim (USA, Europe) (Game Genie)",libretro_database,0,0,0,2,2,0
gb,Eddie's Puzzle Time,,0,0,0,0,0,0
gb,Elevator Action (World) (GameShark),,0,0,0,0,0,0
gb,Explosive Brick '94 (Sachen) [!],,0,0,0,0,0,0
gb,Extra Bases! (USA) (Game Genie),,0,0,0,0,0,0
gb,F-1 Race (World) (GameShark),,0,0,0,0,0,0
gb,"F-15 Strike Eagle (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,F1 Boy (Japan) (GameShark),,0,0,0,0,0,0
