system	game_key	asset_path	aliases	trigger_count
genesis	GreendogTheBeachedSurferDude-Genesis	profiles/genesis/greendogthebeachedsurferdude_genesis.qrr	greendogthebeachedsurferdude|greendogthebeachedsurferdudegenesis	5
genesis	GrindStormer-Genesis	profiles/genesis/grindstormer_genesis.qrr	grindstormer|grindstormergenesis	3
genesis	Growl-Genesis	profiles/genesis/growl_genesis.qrr	growl|growlgenesis	1
genesis	Gunship-Genesis	profiles/genesis/gunship_genesis.qrr	gunship|gunshipgenesis	3
genesis	Gynoug-Genesis	profiles/genesis/gynoug_genesis.qrr	gynoug|gynouggenesis	3
genesis	HardDrivin-Genesis	profiles/genesis/harddrivin_genesis.qrr	harddrivin|harddrivingenesis	1
genesis	Havoc-Genesis	profiles/genesis/havoc_genesis.qrr	havoc|havocgenesis	3
genesis	HeavyNova-Genesis	profiles/genesis/heavynova_genesis.qrr	heavynova|heavynovagenesis	3
genesis	HeavyUnitMegaDriveSpecial-Genesis	profiles/genesis/heavyunitmegadrivespecial_genesis.qrr	heavyunitmegadrivespecial|heavyunitmegadrivespecialgenesis	3
genesis	Hellfire-Genesis	profiles/genesis/hellfire_genesis.qrr	hellfire|hellfiregenesis	3
genesis	HokutoNoKen-Genesis	profiles/genesis/hokutonoken_genesis.qrr	hokutonoken|hokutonokengenesis	2
genesis	HomeAlone-Genesis	profiles/genesis/homealone_genesis.qrr	homealone|homealonegenesis	1
genesis	HomeAlone2LostInNewYork-Genesis	profiles/genesis/homealone2lostinnewyork_genesis.qrr	homealone2lostinnewyork|homealone2lostinnewyorkgenesis	5
genesis	Hook-Genesis	profiles/genesis/hook_genesis.qrr	hook|hookgenesis	5
genesis	Hurricanes-Genesis	profiles/genesis/hurricanes_genesis.qrr	hurricanes|hurricanesgenesis	6
genesis	IMGInternationalTourTennis-Genesis	profiles/genesis/imginternationaltourtennis_genesis.qrr	imginternationaltourtennis|imginternationaltourtennisgenesis	1
genesis	IncredibleCrashDummies-Genesis	profiles/genesis/incrediblecrashdummies_genesis.qrr	incrediblecrashdummies|incrediblecrashdummiesgenesis|incrediblecrashdummiesthe	6
genesis	IncredibleHulk-Genesis	profiles/genesis/incrediblehulk_genesis.qrr	incrediblehulk|incrediblehulkgenesis|incrediblehulkthe	5
genesis	IndianaJonesAndTheLastCrusade-Genesis	profiles/genesis/indianajonesandthelastcrusade_genesis.qrr	indianajonesandthelastcrusade|indianajonesandthelastcrusadegenesis	4
genesis	IndianaJonesLastCrusade-Genesis	profiles/genesis/indianajoneslastcrusade_genesis.qrr	indianajoneslastcrusade|indianajoneslastcrusadegenesis	1
genesis	InsectorX-Genesis	profiles/genesis/insectorx_genesis.qrr	insectorx|insectorxgenesis	3
genesis	IshidoTheWayOfStones-Genesis	profiles/genesis/ishidothewayofstones_genesis.qrr	ishidothewayofstones|ishidothewayofstonesgenesis	1
genesis	IzzysQuestForTheOlympicRings-Genesis	profiles/genesis/izzysquestfortheolympicrings_genesis.qrr	izzysquestfortheolympicrings|izzysquestfortheolympicringsgenesis	5
genesis	JamesBond007TheDuel-Genesis	profiles/genesis/jamesbond007theduel_genesis.qrr	jamesbond007theduel|jamesbond007theduelgenesis	5
genesis	JamesPond2CodenameRobocod-Genesis	profiles/genesis/jamespond2codenamerobocod_genesis.qrr	jamespond2codenamerobocod|jamespond2codenamerobocodgenesis	1
genesis	JamesPond3-Genesis	profiles/genesis/jamespond3_genesis.qrr	jamespond3|jamespond3genesis	5
genesis	JamesPond3OperationStarfi-Genesis	profiles/genesis/jamespond3operationstarfi_genesis.qrr	jamespond3operationstarfi|jamespond3operationstarfigenesis	1
genesis	JamesPondIICodenameRobocod-Genesis	profiles/genesis/jamespondiicodenamerobocod_genesis.qrr	jamespondiicodenamerobocod|jamespondiicodenamerobocodgenesis	6
genesis	JamesPondUnderwaterAgent-Genesis	profiles/genesis/jamespondunderwateragent_genesis.qrr	jamespondunderwateragent|jamespondunderwateragentgenesis	3
genesis	JewelMaster-Genesis	profiles/genesis/jewelmaster_genesis.qrr	jewelmaster|jewelmastergenesis	3
genesis	JoeAndMac-Genesis	profiles/genesis/joeandmac_genesis.qrr	joeandmac|joeandmacgenesis	5
genesis	JuJuDensetsuTokiGoingApeSpit-Genesis	profiles/genesis/jujudensetsutokigoingapespit_genesis.qrr	jujudensetsutokigoingapespit|jujudensetsutokigoingapespitgenesis	3
genesis	JudgeDredd-Genesis	profiles/genesis/judgedredd_genesis.qrr	judgedredd|judgedreddgenesis	5
genesis	JungleBook-Genesis	profiles/genesis/junglebook_genesis.qrr	junglebook|junglebookgenesis|junglebookthe	6
genesis	JusticeLeagueTaskForce-Genesis	profiles/genesis/justiceleaguetaskforce_genesis.qrr	justiceleaguetaskforce|justiceleaguetaskforcegenesis	3
genesis	KaGeKiFistsOfSteel-Genesis	profiles/genesis/kagekifistsofsteel_genesis.qrr	kagekifistsofsteel|kagekifistsofsteelgenesis	3
genesis	KidChameleon-Genesis	profiles/genesis/kidchameleon_genesis.qrr	kidchameleon|kidchameleongenesis	3
genesis	KingOfTheMonsters2-Genesis	profiles/genesis/kingofthemonsters2_genesis.qrr	kingofthemonsters2|kingofthemonsters2genesis	3
genesis	LastActionHero-Genesis	profiles/genesis/lastactionhero_genesis.qrr	lastactionhero|lastactionherogenesis	5
genesis	LastBattle-Genesis	profiles/genesis/lastbattle_genesis.qrr	lastbattle|lastbattlegenesis	3
genesis	LawnmowerMan-Genesis	profiles/genesis/lawnmowerman_genesis.qrr	lawnmowerman|lawnmowermangenesis|lawnmowermanthe	3
genesis	LegendOfGalahad-Genesis	profiles/genesis/legendofgalahad_genesis.qrr	legendofgalahad|legendofgalahadgenesis|legendofgalahadthe	5
genesis	LethalEnforcers-Genesis	profiles/genesis/lethalenforcers_genesis.qrr	lethalenforcers|lethalenforcersgenesis	1
genesis	LethalEnforcersIIGunFighters-Genesis	profiles/genesis/lethalenforcersiigunfighters_genesis.qrr	lethalenforcersiigunfighters|lethalenforcersiigunfightersgenesis	1
genesis	MUSHA-Genesis	profiles/genesis/musha_genesis.qrr	musha|mushagenesis	3
genesis	MagicalTaruruutoKun-Genesis	profiles/genesis/magicaltaruruutokun_genesis.qrr	magicaltaruruutokun|magicaltaruruutokungenesis	6
genesis	MaouRenjishi-Genesis	profiles/genesis/maourenjishi_genesis.qrr	maourenjishi|maourenjishigenesis	5
